PC 1,0.0011445966449935162
PC 2,0.0006722544288273434
PC 3,0.00045780415578848234
PC 4,0.0002626512505294082
PC 5,0.00017394491321521388
PC 6,0.00014656855837073363
PC 7,0.0001235624669026639
PC 8,9.49953339021044e-05
PC 9,7.806841336424031e-05
PC 10,6.904365735441675e-05
PC 11,4.78650924421583e-05
PC 12,4.01427702843878e-05
PC 13,3.476111544811816e-05
PC 14,3.1154737581985675e-05
PC 15,2.435520636903275e-05
PC 16,1.7347878262089805e-05
PC 17,1.26653273451094e-05
PC 18,1.0988216434543809e-05
PC 19,7.89411072374664e-06
PC 20,6.1331660227307825e-06
PC 21,4.682038011851432e-06
PC 22,3.4527878389501536e-06
PC 23,1.953596673757457e-06
PC 24,1.450625382016267e-06
PC 25,6.117381585181044e-07
PC 26,4.580950152326404e-07
PC 27,2.863178745213803e-07
PC 28,1.5112801584133173e-07
PC 29,5.591984561305627e-08
PC 30,1.6292631706675726e-19
